family,url,lastmod
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-blanchfield-vs-barber-apex-ufc-tonight,2025-07-09T22:24Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-blaydes-vs-daukaus-ufc-columbus,2022-03-27T02:09Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-bonfim-vs-brown,2025-11-09T02:15Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-burns-vs-brady-vegas-97,2024-09-08T02:00Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-burns-vs-morales-apex-las-vegas,2025-05-19T16:05Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-cannonier-vs-borralho-vegas-96,2024-08-25T05:41Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-cannonier-vs-rodrigues-las-vegas,2025-02-16T02:41Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-cannonier-vs-strickland,2022-12-18T03:48Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-cejudo-vs-song-seattle,2025-03-06T23:25Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-covington-vs-buckley-tampa,2024-12-16T17:35Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-dariush-vs-tsarukyan,2023-12-03T03:00Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-dawson-vs-green,2025-02-21T19:35Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-dern-vs-hill,2023-05-21T02:11Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-dern-vs-ribas-2,2025-01-12T03:16Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-dolidze-vs-imavov,2024-02-04T03:11Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-edwards-vs-brady-o2-arena-london,2025-03-22T23:37Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-emmett-vs-murphy-apex-las-vegas,2025-04-06T05:55Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-emmett-vs-topuria,2023-06-30T17:05Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-fiziev-vs-gamrot,2023-10-10T16:46Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-font-vs-aldo-ufc-vegas-44,2021-12-05T06:41Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-font-vs-vera-ufc-vegas-53,2022-05-01T02:32Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-gane-vs-spivac,2023-09-02T22:07Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-gane-vs-tuivasa-paris,2025-02-21T19:42Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-garcia-vs-onama,2026-02-20T19:06Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-hermansson-vs-pyfer,2024-02-11T04:09Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-hermansson-vs-strickland-ufc-vegas-47,2022-02-06T03:17Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-fight-night-hernandez-vs-pereira,2024-10-20T02:10Z
