fightmetric_id,ufc_fight_uuid,drupal_internal_nid,red_athlete_uuid,blue_athlete_uuid,winner_athlete_uuid,title,final_method,final_round,final_time
10579,16f96b18-9383-4acf-b48a-6903f48036c7,129982,af2f949b-b429-4a9e-957a-ec3acee3c55b,aed0c726-2f92-4f83-bf59-916ca5ffd6db,aed0c726-2f92-4f83-bf59-916ca5ffd6db,Jai Herbert vs Farès Ziam,Decision - Unanimous,3,5:00
10580,b70ed9e6-f01d-4927-8e08-8e8e693d0ff6,130006,1bc33b8e-6902-4a6e-a8bc-b84a7f85625e,16b577db-6fef-4384-a307-cdb9238533cd,1bc33b8e-6902-4a6e-a8bc-b84a7f85625e,Alexander Volkanovski vs Yair Rodriguez,KO/TKO,3,4:19
10584,6283625e-e311-44e9-9460-8bbf75fbd929,130003,9fc10e7b-a539-4f55-b1ce-dd3747124c36,bb2f7871-c591-4a31-852f-47dc324962f4,9fc10e7b-a539-4f55-b1ce-dd3747124c36,Tom Aspinall vs Marcin Tybura,KO/TKO,1,1:13
10585,e8c4c60e-96a9-454c-84fc-ad71522ed324,129956,b1abbf24-7948-44c9-8442-fcfde3e55634,bd522ec9-f4b1-406d-8649-89368e8c6929,bd522ec9-f4b1-406d-8649-89368e8c6929,Emily Ducote vs Loopy Godinez,Decision - Unanimous,3,5:00
10586,95686e75-67fc-4303-904c-8d4014b0f18d,130077,6d78f67e-76d2-4c83-b487-ef42bd70998e,8d7005d6-e0ad-46f9-98d9-4ee2172def3a,6d78f67e-76d2-4c83-b487-ef42bd70998e,Daniel Santos vs Johnny Munoz,Decision - Unanimous,3,5:00
10587,ae30a6ad-5008-4b59-9ba2-f3f34a400caa,130043,89aacfb7-4e80-4604-9a65-a2c992faba17,bbcc9bf5-5f50-4d5f-9022-1ecd98681a8e,bbcc9bf5-5f50-4d5f-9022-1ecd98681a8e,Marc Diakiese vs Joel Álvarez,Submission,2,4:26
10588,06fd4eca-8da6-4bc1-85b6-3b7f2f97ab08,130044,b8156cd1-8148-4f69-b2f9-4ae521eedef9,11be8093-ddc2-4208-8c5e-b0c04ed53a48,11be8093-ddc2-4208-8c5e-b0c04ed53a48,Danny Roberts vs Jonny Parsons,KO/TKO,2,4:57
10589,0ed33edb-aa3a-4196-bc63-95775c22ddd5,130071,a00bd73b-54b4-43f9-b6db-3a29839a2603,db5ef297-5f61-419e-8278-6c95807c4a8e,db5ef297-5f61-419e-8278-6c95807c4a8e,Holly Holm vs Mayra Bueno Silva,Submission,2,0:38
10590,1b565a4f-9254-451e-9abf-f3ad805d955c,130172,389af982-62e8-4457-814e-05c0129b37ea,03552c0a-af9e-44fe-a396-f6a31cc11739,03552c0a-af9e-44fe-a396-f6a31cc11739,Dustin Poirier vs Justin Gaethje,KO/TKO,2,1:00
10591,5e2fa2d1-3f6a-4978-9946-4696d8386fdb,130167,5fc95382-6e7b-4af6-a404-a9bef43d4827,51c0b62f-0bd0-4d7a-9dd1-85ee9b39af82,51c0b62f-0bd0-4d7a-9dd1-85ee9b39af82,Jan Błachowicz vs Alex Pereira,Decision - Split,3,5:00
10592,375b7c92-1785-442f-8cc5-49a131c040ac,130173,25059da9-ba00-4e8d-86dd-6142c413c791,5951afd4-125d-4df3-8cc8-174eca22c10a,5951afd4-125d-4df3-8cc8-174eca22c10a,Tony Ferguson vs Bobby Green,Submission,3,4:54
