external_fighter_url,external_fighter_name,external_birth_date,canonical_fighter_id,canonical_name,canonical_dob,match_method,review_status,match_confidence
/fighter/Dave-Herman-19720,Dave Herman,1984-10-03,89321477-f3fd-530e-b10d-ed376259fb3f,Dave Herman,1984-10-03,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Mychal-Clark-18067,Mychal Clark,,85b15fca-a0ec-5b03-b6a5-4b4e8126516b,Mychal Clark,,exact_normalized_name_unique_dob_not_jointly_observed,candidate,0.95
/fighter/Aaron-Romero-11876,Aaron Romero,1972-07-26,,,,,unmatched_exact_name,
/fighter/Georges-St-Pierre-3500,Georges St. Pierre,1981-05-19,0726683d-f5ae-52c1-8302-82da5a0aa70b,Georges St-Pierre,1981-05-19,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Karl-Etherington-72482,Karl Etherington,1975-09-17,,,,,unmatched_exact_name,
/fighter/Ryan-Roddy-25351,Ryan Roddy,1989-12-04,,,,,unmatched_exact_name,
/fighter/Shuwei-Sun-250371,Shuwei Sun,,,,,,unmatched_exact_name,
/fighter/Guillaume-DeLorenzi-30193,Guillaume DeLorenzi,1984-07-01,,,,,unmatched_exact_name,
/fighter/Jason-Christeson-206853,Jason Christeson,1978-08-02,,,,,unmatched_exact_name,
/fighter/Ryan-Madigan-16551,Ryan Madigan,,d4035146-babf-5278-8e8b-0c7b6a32b5c7,Ryan Madigan,,exact_normalized_name_unique_dob_not_jointly_observed,candidate,0.95
/fighter/Junior-Albini-67923,Junior Albini,1991-03-15,e5225757-b5b7-5dab-bfb3-494b97d8bd9e,Junior Albini,1991-03-15,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Peggy-Morgan-91565,Peggy Morgan,1979-12-06,,Peggy Morgan,1979-12-16,exact_normalized_name_but_dob_conflicts_after_dmy_parse,dob_conflict,
/fighter/Khabib-Nurmagomedov-56035,Khabib Nurmagomedov,1988-09-20,f05a54c0-350b-5ff5-a2d3-3c986158714d,Khabib Nurmagomedov,1988-09-20,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Michinori-Tanaka-71942,Michinori Tanaka,1990-10-04,cee6c93f-0f09-5a88-a832-5a85541fb175,Michinori Tanaka,1990-10-04,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Jeremiah-ONeal-2398,Jeremiah O'Neal,1977-10-25,3da06419-b0d2-542a-8d8a-c1ee84b28399,Jeremiah O'Neal,1977-10-25,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Devorious-Tubbs-176823,Devorious Tubbs,,,,,,unmatched_exact_name,
/fighter/Chris-de-la-Rocha-146377,Chris de la Rocha,1979-05-15,96d9e5bf-ae2e-5305-845c-45c7fc45b4b2,Chris de la Rocha,1979-05-15,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Nick-Catone-23006,Nick Catone,1981-09-01,78d70c38-79cf-5a93-878f-bc312dfac0bd,Nick Catone,1981-09-01,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Melvin-Manhoef-4296,Melvin Manhoef,1976-05-11,0474c65f-69fb-51b3-abfb-f40fcbc28620,Melvin Manhoef,1976-05-11,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Chad-Leonhardt-17822,Chad Leonhardt,1980-02-19,155285bb-5e72-506e-8018-0c6fbeb808a9,Chad Leonhardt,1980-02-19,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Rob-Broughton-10924,Rob Broughton,1983-03-03,f63eb00d-7005-546c-8cb5-141caab5d50e,Rob Broughton,1983-03-03,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Schyler-Sootho-267253,Schyler Sootho,1988-11-22,,,,,unmatched_exact_name,
