ranking_fighter_name,normalized_name,greco_fighter_name,greco_fighter_url,match_method,review_status
Dan Ige,danige,Dan Ige,http://ufcstats.com/fighter-details/82a5152216251682,exact_normalized_display_name_unique,candidate
Daniel Cormier,danielcormier,Daniel Cormier,http://ufcstats.com/fighter-details/d967f0128c323de6,exact_normalized_display_name_unique,candidate
Daniel Kelly,danielkelly,Daniel Kelly,http://ufcstats.com/fighter-details/bdcbb976816fd256,exact_normalized_display_name_unique,candidate
Daniel Omielanczuk,danielomielanczuk,Daniel Omielanczuk,http://ufcstats.com/fighter-details/470fedbc8563ac47,exact_normalized_display_name_unique,candidate
Daniel Rodriguez,danielrodriguez,Daniel Rodriguez,http://ufcstats.com/fighter-details/8a1f3b5c526cd6e6,exact_normalized_display_name_unique,candidate
Daria Zhelezniakova,dariazhelezniakova,Daria Zhelezniakova,http://ufcstats.com/fighter-details/07047eb7d17fb0a2,exact_normalized_display_name_unique,candidate
Darrell Montague,darrellmontague,Darrell Montague,http://ufcstats.com/fighter-details/bffeb123b21c9aad,exact_normalized_display_name_unique,candidate
Darren Elkins,darrenelkins,Darren Elkins,http://ufcstats.com/fighter-details/92a9aa9c93192871,exact_normalized_display_name_unique,candidate
Darren Till,darrentill,Darren Till,http://ufcstats.com/fighter-details/9ce6d5a03af801b7,exact_normalized_display_name_unique,candidate
Darren Uyenoyama,darrenuyenoyama,Darren Uyenoyama,http://ufcstats.com/fighter-details/6546af7ab545b90c,exact_normalized_display_name_unique,candidate
David Branch,davidbranch,David Branch,http://ufcstats.com/fighter-details/d2c55d1d2e67773b,exact_normalized_display_name_unique,candidate
David Dvorak,daviddvorak,David Dvorak,http://ufcstats.com/fighter-details/9ada30894bf04e19,exact_normalized_display_name_unique,candidate
David Martinez,davidmartinez,David Martinez,http://ufcstats.com/fighter-details/9a97acbfd5a08bfa,exact_normalized_display_name_unique,candidate
David Onama,davidonama,David Onama,http://ufcstats.com/fighter-details/ffe9703408fb5964,exact_normalized_display_name_unique,candidate
DeAnna Bennett,deannabennett,DeAnna Bennett,http://ufcstats.com/fighter-details/404ecb2700844072,exact_normalized_display_name_unique,candidate
Deiveson Figueiredo,deivesonfigueiredo,Deiveson Figueiredo,http://ufcstats.com/fighter-details/aa72b0f831d0bfe5,exact_normalized_display_name_unique,candidate
Demetrious Johnson,demetriousjohnson,Demetrious Johnson,http://ufcstats.com/fighter-details/8a304bfd6bf04a57,exact_normalized_display_name_unique,candidate
Demian Maia,demianmaia,Demian Maia,http://ufcstats.com/fighter-details/427b5953ac8e3a27,exact_normalized_display_name_unique,candidate
Denise Gomes,denisegomes,Denise Gomes,http://ufcstats.com/fighter-details/cffb87059e645bd1,exact_normalized_display_name_unique,candidate
Dennis Bermudez,dennisbermudez,Dennis Bermudez,http://ufcstats.com/fighter-details/6f242453c91a5af0,exact_normalized_display_name_unique,candidate
Dennis Siver,dennissiver,Dennis Siver,http://ufcstats.com/fighter-details/5f87a5c00b3d17ed,exact_normalized_display_name_unique,candidate
Derek Brunson,derekbrunson,Derek Brunson,http://ufcstats.com/fighter-details/b1a3e0aca758b322,exact_normalized_display_name_unique,candidate
Derrick Lewis,derricklewis,Derrick Lewis,http://ufcstats.com/fighter-details/d3df1add9d9a7efb,exact_normalized_display_name_unique,candidate
Diego Brandao,diegobrandao,Diego Brandao,http://ufcstats.com/fighter-details/c2e3e67b5911bfb7,exact_normalized_display_name_unique,candidate
Diego Ferreira,diegoferreira,Diego Ferreira,http://ufcstats.com/fighter-details/f53d4f21d1b5f2dc,exact_normalized_display_name_unique,candidate
Diego Lopes,diegolopes,Diego Lopes,http://ufcstats.com/fighter-details/f166e93d04a8c274,exact_normalized_display_name_unique,candidate
Diego Sanchez,diegosanchez,Diego Sanchez,http://ufcstats.com/fighter-details/82e7929bf6c2b689,exact_normalized_display_name_unique,candidate
Dominick Cruz,dominickcruz,Dominick Cruz,http://ufcstats.com/fighter-details/10f3ba6cd2f44a97,exact_normalized_display_name_unique,candidate
