fightmetric_id,raw_color,round,resource_id,drupal_internal_id,reason,field,raw_value,details
12184,1,3,9a369d1e-9c1a-41c8-b236-3be04ac75d5a,65762,missing_canonical_fight_identity,,,
12197,0,1,655cd7b3-eb02-4122-bb59-1dd652983bb2,65076,missing_canonical_fight_identity,,,
12197,1,1,34227c95-6009-4ded-b733-cb5d12e2c437,65077,missing_canonical_fight_identity,,,
122,0,1,1ceb4c81-fcb0-469c-a69c-39ff78de60e9,33937,missing_canonical_fight_identity,,,
122,1,1,e3b1a897-e8fd-43fa-b6b1-d2d079f3d89c,33938,missing_canonical_fight_identity,,,
12207,0,1,bf2da536-a784-48dd-b60b-3407afaf4482,65272,missing_canonical_fight_identity,,,
12207,0,2,d719f793-ec96-4ad2-b40a-aa8c7714b36a,65273,missing_canonical_fight_identity,,,
12207,1,1,4e1a38aa-9019-418e-b322-60df5fdf15f6,65274,missing_canonical_fight_identity,,,
12207,1,2,f666e62b-548e-41e2-92d6-6b3e0cbcc282,65275,missing_canonical_fight_identity,,,
12213,0,1,d392d878-28dc-4436-9bb6-69bdfe905440,65998,missing_canonical_fight_identity,,,
12213,0,2,ab2ffa43-9078-448d-8357-1c5db31248a7,65999,missing_canonical_fight_identity,,,
12213,1,1,6ed1441a-1f57-4c88-a009-a043ffdca93f,66000,missing_canonical_fight_identity,,,
12213,1,2,02137056-c080-4212-b64e-0a6403908125,66001,missing_canonical_fight_identity,,,
12228,0,1,f4e320de-7c13-44a9-9be7-41a09f38d706,65396,missing_canonical_fight_identity,,,
12228,0,2,e3dd1a0a-9f0c-48a9-aaba-516e5cb637c7,65397,missing_canonical_fight_identity,,,
12228,0,3,2e8a5ded-6318-4002-90a5-36190f204a16,65398,missing_canonical_fight_identity,,,
12228,1,1,2b93d611-5fcc-4013-9112-1db534b4ce97,65399,missing_canonical_fight_identity,,,
12228,1,2,11aaf28f-1d6d-4890-a62d-4efa85ad7694,65400,missing_canonical_fight_identity,,,
12228,1,3,04f76f9f-6beb-4369-ab93-ba74a823f28c,65401,missing_canonical_fight_identity,,,
12247,0,1,9f2f8a8e-b603-4856-bfc1-6f3fdfba27d6,65677,missing_canonical_fight_identity,,,
12247,0,2,4f9992b2-6cd9-48b9-b46d-b3e4e55ccc87,65678,missing_canonical_fight_identity,,,
12247,0,3,5bf03d51-451f-4679-92a3-7d9742859d72,65679,missing_canonical_fight_identity,,,
12247,1,1,8930ae8f-4a44-4f1b-ac37-68d18a8724c3,65680,missing_canonical_fight_identity,,,
12247,1,2,07be93da-7c0f-426c-a7f6-bb1862e4f978,65681,missing_canonical_fight_identity,,,
12247,1,3,8eb437d2-4ffd-4d40-8e96-470c3a9c44d6,65682,missing_canonical_fight_identity,,,
12250,0,1,c08c5629-3a87-40d8-b8d8-18e88109d074,69511,missing_canonical_fight_identity,,,
12250,0,2,da76b11b-3bec-412a-9d26-75abd220d118,69512,missing_canonical_fight_identity,,,
12250,0,3,924da2c1-d454-4838-80df-718debc31d56,69513,missing_canonical_fight_identity,,,
12250,1,1,5b7426ef-1ccd-4ef7-822e-a66e20eea69c,69514,missing_canonical_fight_identity,,,
12250,1,2,3c53eb80-fdec-4875-8d27-13d6d39096e9,69515,missing_canonical_fight_identity,,,
12250,1,3,f0defb1e-6db6-4ebb-8b6e-6634826cb4da,69516,missing_canonical_fight_identity,,,
12286,0,1,9c2bfa14-0dc0-4d9e-95fb-3e308fc42883,66048,missing_canonical_fight_identity,,,
12286,1,1,7625db54-3b25-4cea-bfe2-5da400ceb9ee,66049,missing_canonical_fight_identity,,,
123,0,1,3371a0c4-0c09-46b6-867b-7969ca25fd6d,33915,missing_canonical_fight_identity,,,
123,1,1,5b4076bc-68d7-4711-a7a4-15f4c2c1e6d3,33916,missing_canonical_fight_identity,,,
12339,0,1,3b5423de-7d60-4c6e-ae27-2d0896939034,65868,missing_canonical_fight_identity,,,
12339,1,1,145a5380-f9bd-49ab-9da5-c351fa8ac37b,65869,missing_canonical_fight_identity,,,
12346,0,1,b2538ece-4b26-4bc4-9d20-d1da417256f4,69519,missing_canonical_fight_identity,,,
12346,1,1,69da2f26-983c-43b7-8175-e46a99ae016a,69520,missing_canonical_fight_identity,,,
12362,0,1,c06070bb-fa1f-4e00-9640-29860beb138b,66434,missing_canonical_fight_identity,,,
12362,0,2,fb75c4c8-1053-4a1f-a4d4-68c72f77f16c,66435,missing_canonical_fight_identity,,,
12362,0,3,3891be28-3abc-450c-997f-23053cba3a8e,66436,missing_canonical_fight_identity,,,
12362,1,1,25ae39b2-c220-4247-835e-a6169d80c0d5,66437,missing_canonical_fight_identity,,,
12362,1,2,5810a98b-3a51-4eaf-b734-bb59a8e63faa,66438,missing_canonical_fight_identity,,,
12362,1,3,5fc6b930-77bc-4eca-93d2-2722617f8511,66439,missing_canonical_fight_identity,,,
124,0,1,7c81d9b0-47c6-4fe8-b5de-19221448ae76,33887,missing_canonical_fight_identity,,,
124,1,1,f262e9ae-d31d-495f-811f-dc6533196a9f,33888,missing_canonical_fight_identity,,,
12471,0,1,76e2d639-ae37-405b-b329-78b5b6c01fab,66564,missing_canonical_fight_identity,,,
12471,0,2,e9db1d70-e4af-4950-9eba-a99b67b250f9,66565,missing_canonical_fight_identity,,,
12471,0,3,0c7a8db7-d7be-48f1-8cb7-b8b2cb6908ea,66566,missing_canonical_fight_identity,,,
12471,1,1,106b64de-066a-41d2-8f65-76b841152b81,66567,missing_canonical_fight_identity,,,
12471,1,2,55bfe359-43f6-47fa-8b58-e55de9a5838c,66568,missing_canonical_fight_identity,,,
12471,1,3,e2702e36-6570-44ea-bc2e-2e13eb17736b,66569,missing_canonical_fight_identity,,,
12486,0,1,87b8a9eb-59f4-4be5-8ca4-193d38f62df7,67106,missing_canonical_fight_identity,,,
12486,0,2,23f7100c-0aa0-4e15-92c1-099f02c1f119,67107,missing_canonical_fight_identity,,,
12486,0,3,30beb335-5feb-4dde-8de1-8f2775322c39,67108,missing_canonical_fight_identity,,,
12486,1,1,21d491d3-6f40-494c-b183-cdf33bf8be02,67109,missing_canonical_fight_identity,,,
12486,1,2,f70ad5aa-828b-4e0a-aa53-22e996961dfb,67110,missing_canonical_fight_identity,,,
12486,1,3,ec21dee1-4932-403b-94cc-75d29408ea61,67111,missing_canonical_fight_identity,,,
125,0,1,f02a9518-9975-4aeb-ae53-261f2357917e,33929,missing_canonical_fight_identity,,,
125,1,1,ce27b21d-1432-480f-9bae-87d5d683b509,33930,missing_canonical_fight_identity,,,
12517,0,1,e5d640d3-6fee-4c66-9e6f-53dde529d9da,66739,missing_canonical_fight_identity,,,
12517,0,2,49ff149a-32a7-4834-834c-b2c8862c21d1,66740,missing_canonical_fight_identity,,,
12517,1,1,6d0a7b1e-7eb5-4482-9590-b1444736342c,66741,missing_canonical_fight_identity,,,
12517,1,2,5ea4cd3b-d20c-48ca-ab23-fb50d0ce6432,66742,missing_canonical_fight_identity,,,
12531,0,1,619d2b32-e7c0-4cd8-9881-51af5aa5de30,67293,missing_canonical_fight_identity,,,
12531,0,2,117827ce-3351-47ff-a535-34a4111f3f31,67294,missing_canonical_fight_identity,,,
12531,0,3,aebb170e-4b20-4854-b6e3-d38eaac52d22,67295,missing_canonical_fight_identity,,,
12531,1,1,fd2b40a1-7d38-44a7-bc9e-0e06cecbf492,67296,missing_canonical_fight_identity,,,
