archive_key,fight_id,event_date,judge_block,psm7_text,psm11_text,scorecard_candidate,espn_judge_name,espn_official_ids,similarity_psm7,similarity_psm11,runner_up_similarity,margin,identity_status
b95eaa924e0ee38e97438a0a.jpg,ddc84dec-2fc9-5606-9994-c39abc600b53,2022-03-19,2,ARMEDKORCHH,ARMEDKORCHH,,,,0.0,0.0,0.0,0.0,upstream_not_dual_consensus
b95eaa924e0ee38e97438a0a.jpg,ddc84dec-2fc9-5606-9994-c39abc600b53,2022-03-19,3,CLEMENS WERNER,CLEMENSWERNER,,,,0.0,0.0,0.0,0.0,upstream_not_dual_consensus
bc3e0ad69dbaf423e4064f68.jpeg,3e50330b-30ed-50b1-98bd-69f854bf6bb8,2024-08-03,1,BEN CARTLIDGE,BEN CARTLIDGE,BEN CARTLIDGE,Ben Cartlidge,3023938,1.0,1.0,0.61538,0.38462,reconciled_unique_espn_judge
bc3e0ad69dbaf423e4064f68.jpeg,3e50330b-30ed-50b1-98bd-69f854bf6bb8,2024-08-03,2,VITO PAOLILLO,VITO PAOLILLO,VITO PAOLILLO,Vito Paolili,4684892,0.88,0.88,0.58333,0.29667,reconciled_unique_espn_judge
bc3e0ad69dbaf423e4064f68.jpeg,3e50330b-30ed-50b1-98bd-69f854bf6bb8,2024-08-03,3,CLEMENS WERNER,CLEMENS WERNER,CLEMENS WERNER,Clemens Werner,4053724,1.0,1.0,0.52174,0.47826,reconciled_unique_espn_judge
ce532851e6fc5ae2a1f49c43.jpg,083fc692-d48b-58e7-bebe-3e6f9a5f1673,2020-10-17,1,DAVID LETHABY,DAVID LETHABY,DAVID LETHABY,David Lethaby,4319691,1.0,1.0,0.66667,0.33333,reconciled_unique_espn_judge
ce532851e6fc5ae2a1f49c43.jpg,083fc692-d48b-58e7-bebe-3e6f9a5f1673,2020-10-17,2,DARRYLRANSOM,DARRYLRANSOM,,,,0.0,0.0,0.0,0.0,upstream_not_dual_consensus
ce532851e6fc5ae2a1f49c43.jpg,083fc692-d48b-58e7-bebe-3e6f9a5f1673,2020-10-17,3,VICTOR WOLF,VICTOR WOLF,VICTOR WOLF,Victor Wolf,4698023,1.0,1.0,0.6087,0.3913,reconciled_unique_espn_judge
cf96c44df235977fd68039ed.jpeg,4f246a07-3213-5dca-bc92-2fdf9f7c8de1,2023-07-29,1,STEVE FARAGHER,STEVE FARAGHER,STEVE FARAGHER,Steve Faragher,5092485,1.0,1.0,0.66667,0.33333,reconciled_unique_espn_judge
cf96c44df235977fd68039ed.jpeg,4f246a07-3213-5dca-bc92-2fdf9f7c8de1,2023-07-29,2,,,,,,0.0,0.0,0.0,0.0,upstream_not_dual_consensus
